,Date,GDP,CPIAUCSL,UNRATE,FEDFUNDS,GS10,INDPRO,PPIACO,RSXFS,HOUST,PSAVERT
948,1992-01-01,6363.102,138.3,7.3,4.03,7.03,61.4898,115.6,146925.0,1176.0,9.5
951,1992-04-01,6470.763,139.4,7.4,3.73,7.48,62.9312,116.3,148032.0,1099.0,9.8
954,1992-07-01,6566.641,140.5,7.7,3.25,6.84,63.7408,117.9,150761.0,1139.0,9.5
957,1992-10-01,6680.803,141.7,7.3,3.1,6.59,64.0282,118.1,153521.0,1244.0,7.9
960,1993-01-01,6729.459,142.8,7.3,3.02,6.6,64.6256,118.0,157555.0,1210.0,8.5
963,1993-04-01,6808.939,143.8,7.1,2.96,5.97,65.0611,119.3,158979.0,1258.0,8.7
966,1993-07-01,6882.098,144.5,6.9,3.06,5.81,65.1198,119.2,162816.0,1254.0,7.5
969,1993-10-01,7013.738,145.6,6.8,2.99,5.33,65.8702,119.1,164685.0,1392.0,6.2
972,1994-01-01,7115.652,146.3,6.6,3.05,5.75,66.7722,119.1,167518.0,1272.0,7.0
975,1994-04-01,7246.931,147.2,6.4,3.56,6.97,67.8771,119.7,173106.0,1465.0,6.3
978,1994-07-01,7331.075,148.4,6.1,4.26,7.3,68.7353,120.7,174781.0,1439.0,6.9
981,1994-10-01,7455.288,149.4,5.8,4.76,7.74,69.969,120.9,180561.0,1450.0,7.0
984,1995-01-01,7522.289,150.5,5.6,5.53,7.78,71.2762,122.9,182413.0,1407.0,7.3
987,1995-04-01,7580.997,151.8,5.8,6.05,7.06,71.1623,124.6,181686.0,1267.0,6.8
990,1995-07-01,7683.125,152.6,5.7,5.85,6.28,71.4459,125.3,185431.0,1461.0,6.9
993,1995-10-01,7772.586,153.5,5.5,5.76,6.04,72.5428,125.3,186565.0,1369.0,7.0
996,1996-01-01,7868.468,154.7,5.6,5.56,5.65,72.5866,126.3,189135.0,1467.0,6.5
999,1996-04-01,8032.84,156.1,5.6,5.22,6.51,74.2664,127.4,194744.0,1516.0,5.5
1002,1996-07-01,8131.408,157.0,5.5,5.4,6.87,75.3754,128.0,196187.0,1472.0,6.5
1005,1996-10-01,8259.771,158.2,5.2,5.24,6.53,76.2193,128.0,200509.0,1392.0,6.1
1008,1997-01-01,8362.655,159.4,5.3,5.25,6.58,77.5138,129.7,202371.0,1355.0,5.9
1011,1997-04-01,8518.825,159.9,5.1,5.51,6.89,78.9924,127.0,203399.0,1492.0,6.2
1014,1997-07-01,8662.823,160.4,4.9,5.52,6.22,80.48,126.9,207014.0,1437.0,5.8
1017,1997-10-01,8765.907,161.5,4.7,5.5,6.03,82.7657,127.8,208078.0,1520.0,5.9
1020,1998-01-01,8866.48,162.0,4.6,5.56,5.54,84.1656,125.4,209666.0,1525.0,7.0
1023,1998-04-01,8969.699,162.2,4.3,5.45,5.64,84.6263,124.9,213633.0,1540.0,6.9
1026,1998-07-01,9121.097,163.2,4.5,5.54,5.46,84.3448,124.9,214841.0,1698.0,6.6
1029,1998-10-01,9293.991,163.9,4.5,5.07,4.53,86.5967,124.0,219483.0,1715.0,5.9
1032,1999-01-01,9411.682,164.7,4.3,4.63,4.72,87.2277,122.9,223997.0,1748.0,6.1
1035,1999-04-01,9526.21,165.9,4.3,4.74,5.18,88.1153,123.6,229037.0,1553.0,4.7
1038,1999-07-01,9686.626,166.7,4.3,4.99,5.79,89.1235,125.7,233948.0,1669.0,4.4
1041,1999-10-01,9900.169,168.1,4.1,5.2,6.11,90.2842,127.7,237553.0,1608.0,4.0
1044,2000-01-01,10002.179,169.3,4.0,5.45,6.66,91.4251,128.3,243436.0,1636.0,4.5
1047,2000-04-01,10247.72,170.9,3.8,6.02,5.99,92.6838,130.7,245831.0,1626.0,4.3
1050,2000-07-01,10318.165,172.7,4.0,6.54,6.05,92.8458,133.7,247176.0,1463.0,4.7
1053,2000-10-01,10435.744,173.9,3.9,6.51,5.74,92.6418,135.4,251221.0,1549.0,4.3
1056,2001-01-01,10470.231,175.6,4.2,5.98,5.16,91.8903,140.0,252654.0,1600.0,4.5
1059,2001-04-01,10599.0,176.4,4.4,4.8,5.14,90.7293,136.4,254763.0,1649.0,4.8
1062,2001-07-01,10598.02,177.4,4.6,3.77,5.24,89.226,133.4,252997.0,1670.0,5.4
1065,2001-10-01,10660.465,177.6,5.3,2.49,4.57,88.3926,130.3,267999.0,1540.0,2.9
1068,2002-01-01,10783.5,177.7,5.7,1.73,5.04,88.4665,128.5,256307.0,1698.0,5.6
1071,2002-04-01,10887.46,179.3,5.9,1.75,5.21,89.5532,130.8,261333.0,1592.0,5.4
1074,2002-07-01,10984.04,180.0,5.8,1.73,4.65,90.6455,131.2,262769.0,1655.0,5.3
1077,2002-10-01,11061.433,181.2,5.7,1.75,3.94,90.4041,133.2,261953.0,1648.0,5.6
1080,2003-01-01,11174.129,182.6,5.8,1.24,4.05,91.1355,135.3,267230.0,1853.0,5.3
1083,2003-04-01,11312.766,183.2,6.0,1.26,3.96,90.4281,136.8,267197.0,1643.0,5.0
1086,2003-07-01,11566.669,183.7,6.2,1.01,3.98,90.9896,137.7,273352.0,1897.0,5.9
1089,2003-10-01,11772.234,184.9,6.0,1.01,4.29,91.5005,139.3,274764.0,1967.0,5.0
1092,2004-01-01,11923.447,186.3,5.7,1.0,4.15,92.327,141.4,278913.0,1911.0,4.6
1095,2004-04-01,12112.815,187.4,5.6,1.0,4.35,92.9096,144.8,282952.0,2003.0,4.9
1098,2004-07-01,12305.307,189.1,5.5,1.26,4.5,93.5511,147.4,287358.0,2002.0,4.7
1101,2004-10-01,12527.214,190.8,5.5,1.76,4.1,94.5671,150.0,295115.0,2072.0,3.9
1104,2005-01-01,12767.286,191.6,5.3,2.28,4.22,95.8831,150.9,296696.0,2144.0,2.7
1107,2005-04-01,12922.656,193.7,5.2,2.79,4.34,96.628,155.0,303760.0,2061.0,2.1
1110,2005-07-01,13142.642,194.9,5.0,3.26,4.18,96.8383,156.3,313520.0,2054.0,1.4
1113,2005-10-01,13324.204,199.1,5.0,3.78,4.46,96.4383,166.2,310479.0,2065.0,2.3
1116,2006-01-01,13599.16,199.3,4.7,4.29,4.42,98.1305,164.3,322348.0,2273.0,3.0
1119,2006-04-01,13753.424,200.7,4.7,4.79,4.99,98.6769,164.3,322561.0,1821.0,3.1
1122,2006-07-01,13870.188,202.9,4.7,5.24,5.09,98.9804,166.8,324204.0,1737.0,2.3
1125,2006-10-01,14039.56,201.9,4.4,5.25,4.73,99.1253,162.2,322678.0,1491.0,2.4
1128,2007-01-01,14215.651,203.437,4.6,5.25,4.76,99.7571,164.0,327181.0,1409.0,2.4
1131,2007-04-01,14402.082,205.904,4.5,5.25,4.69,101.5874,171.4,329560.0,1490.0,3.0
1134,2007-07-01,14564.117,207.603,4.7,5.26,5.0,101.4925,175.1,332342.0,1354.0,2.6
